"Plot" "Coupe" "ACD" "FACE" "LoggingMethod" "LoggingYear" "Forest" "YearsSinceLogging" "MeasureTime" "Dataset"
"585" "FACE_1043" "1981" 86.5629992209748 "Baseline" "High_lead" 1981 "Logged" 29 2010 "FACE"
"1101" "RIL_MP_PL_1" "1993" 82.835044475942 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"2100" "RIL_MP_PL_1" "1993" 144.246707936435 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"3100" "RIL_MP_PL_5" "1993" 114.344829281113 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"4100" "RIL_MP_PL_4" "1993" 89.5105486615901 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"5101" "RIL_MP_PL_6" "1993" 281.35490559754 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"610" "RIL_MP_PL_2" "1993" 245.973583021421 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"710" "RIL_MP_PL_3" "1993" 119.909497736691 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"812" "RIL_MP_PL_8" "1993" 157.756988978219 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"911" "RIL_MP_PL_2" "1993" 246.310244303203 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1010" "RIL_MP_PL_2" "1993" 398.474826760734 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1111" "RIL_MP_PL_3" "1993" 186.015477117256 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1210" "RIL_MP_PL_4" "1993" 216.083967086176 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1311" "RIL_MP_PL_6" "1993" 203.92229552125 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1411" "RIL_MP_PL_7" "1993" 242.545123309548 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1510" "RIL_MP_PL_7" "1993" 352.86676106245 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1610" "RIL_MP_PL_8" "1993" 241.652780417453 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1711" "RIL_MP_PL_1" "1993" 65.6081396783592 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1810" "RIL_MP_PL_5" "1993" 73.4618054799083 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1911" "RIL_MP_PL_6" "1993" 191.447445431725 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"2011" "RIL_MP_PL_7" "1993" 242.432682830366 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"2111" "RIL_MP_PL_5" "1993" 26.6723877577176 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"2210" "RIL_MP_PL_3" "1993" 131.232364825772 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"2310" "RIL_MP_PL_4" "1993" 80.313253621391 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"2410" "RIL_MP_PL_8" "1993" 136.09466552742 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1061" "RIL_MP_PL_14" "1993" 171.152632159463 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1071" "RIL_MP_PL_16" "1993" 65.4787942857492 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1081" "RIL_MP_PL_14" "1993" 106.676753307771 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1091" "RIL_MP_PL_15" "1993" 149.87924434976 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1102" "RIL_MP_PL_12" "1993" 147.896619215789 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1112" "RIL_MP_PL_16" "1993" 79.6575768385312 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1121" "RIL_MP_PL_15" "1993" 149.08980899809 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1131" "RIL_MP_PL_16" "1993" 165.694494335286 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1141" "RIL_MP_PL_13" "1993" 122.810170589855 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1151" "RIL_MP_PL_12" "1993" 68.0608537112915 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1161" "RIL_MP_PL_13" "1993" 79.35101567945 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1171" "RIL_MP_PL_10" "1993" 195.901232310247 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1181" "RIL_MP_PL_9" "1993" 66.1369472317699 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1191" "RIL_MP_PL_10" "1993" 51.0818373103928 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1201" "RIL_MP_PL_9" "1993" 92.639408838964 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1211" "RIL_MP_PL_11" "1993" 125.16352690741 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1221" "RIL_MP_PL_14" "1993" 90.6741455252142 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1231" "RIL_MP_PL_15" "1993" 276.031518103273 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1241" "RIL_MP_PL_9" "1993" 42.9090114799589 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1251" "RIL_MP_PL_10" "1993" 83.0165879056693 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1261" "RIL_MP_PL_11" "1993" 64.0311110542179 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1271" "RIL_MP_PL_11" "1993" 78.0002151310426 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1281" "RIL_MP_PL_12" "1993" 64.7499878079753 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1291" "RIL_MP_PL_13" "1993" 44.2513876959623 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1301" "RIL_MP_PL_20" "1993" 171.311752834441 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1312" "RIL_MP_PL_21" "1993" 158.654961689462 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1321" "RIL_MP_PL_22" "1993" 122.569822057375 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1331" "RIL_MP_PL_17" "1993" 76.3334315316851 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1341" "RIL_MP_PL_18" "1993" 161.787160830485 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1351" "RIL_MP_PL_17" "1993" 118.498350022903 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1361" "RIL_MP_PL_21" "1993" 84.8345824757012 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1371" "RIL_MP_PL_19" "1993" 136.165743530656 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1381" "RIL_MP_PL_21" "1993" 104.292509343345 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1391" "RIL_MP_PL_22" "1993" 116.688446221812 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1401" "RIL_MP_PL_23" "1993" 68.6078066412114 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1412" "RIL_MP_PL_17" "1993" 42.3858641351569 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1421" "RIL_MP_PL_18" "1993" 109.727514933855 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1431" "RIL_MP_PL_19" "1993" 39.7603981095087 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1441" "RIL_MP_PL_20" "1993" 130.628496023236 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1451" "RIL_MP_PL_18" "1993" 180.73601366117 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1461" "RIL_MP_PL_22" "1993" 56.9803321209915 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1471" "RIL_MP_PL_23" "1993" 203.151618969288 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1481" "RIL_MP_PL_24" "1993" 29.4130057491744 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1491" "RIL_MP_PL_20" "1993" 131.31304783617 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1501" "RIL_MP_PL_23" "1993" 245.698523033185 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1511" "RIL_MP_PL_24" "1993" 121.715960609862 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1521" "RIL_MP_PL_24" "1993" 78.9321831322146 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1531" "RIL_MP_PL_19" "1993" 108.246908654179 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1541" "RIL_MP_PL_27" "1993" 120.940234071792 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1551" "RIL_MP_PL_28" "1993" 280.608602785513 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1561" "RIL_MP_PL_29" "1993" 201.251945539557 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1571" "RIL_MP_PL_30" "1993" 57.2793670446662 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1581" "RIL_MP_PL_31" "1993" 110.913545628168 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1591" "RIL_MP_PL_32" "1993" 139.916644600936 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1601" "RIL_MP_PL_27" "1993" 93.9012664617022 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1611" "RIL_MP_PL_28" "1993" 77.2547352135234 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1621" "RIL_MP_PL_29" "1993" 71.227830668603 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1631" "RIL_MP_PL_25" "1993" 120.846486210722 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1641" "RIL_MP_PL_26" "1993" 126.852561166133 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1651" "RIL_MP_PL_25" "1993" 158.837609429516 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1661" "RIL_MP_PL_26" "1993" 139.297417459828 NA "UnLogged" 1993 "UnLogged" 0 1992 "RIL_PinardLincoln"
"1671" "RIL_MP_PL_28" "1993" 132.478582245346 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1681" "RIL_MP_PL_29" "1993" 228.570615303697 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1691" "RIL_MP_PL_30" "1993" 53.4041742312735 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1701" "RIL_MP_PL_31" "1993" 60.7568627353415 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1712" "RIL_MP_PL_25" "1993" 111.023388425445 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1721" "RIL_MP_PL_26" "1993" 111.786334794334 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1731" "RIL_MP_PL_31" "1993" 64.2662626804512 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1741" "RIL_MP_PL_32" "1993" 35.1435357412206 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1751" "RIL_MP_PL_27" "1993" 108.427905001416 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
"1761" "RIL_MP_PL_30" "1993" 47.6107341447911 "Baseline" "Tractor" 1993 "Logged" 3 1996 "RIL_PinardLincoln"
"1771" "RIL_MP_PL_32" "1993" 43.2365222839631 "Baseline" "Tractor" 1993 "Logged" 12 2005 "RIL_PinardLincoln"
