"Plot" "Coupe" "ACD" "FACE" "LoggingMethod" "LoggingYear" "Forest" "YearsSinceLogging" "MeasureTime" "Dataset"
"3610" "FACE_18" "1988" 123.798444588016 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"37" "FACE_19" "1988" 129.245003720013 "ProjectScenario" "High_lead" 1988 "Logged" 22 2010 "FACE"
"38" "FACE_19" "1988" 114.748542013518 "ProjectScenario" "High_lead" 1988 "Logged" 19 2007 "FACE"
"39" "FACE_20" "1981" 182.665085022399 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"4010" "FACE_20" "1981" 160.310218795321 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"41" "FACE_21" "1981" 96.5943342431867 "ProjectScenario" "High_lead" 1981 "Logged" 26 2007 "FACE"
"42" "FACE_21" "1981" 92.2020235400126 "ProjectScenario" "High_lead" 1981 "Logged" 29 2010 "FACE"
"43" "FACE_22" "1991" 58.1493662722588 "ProjectScenario" "Tractor" 1991 "Logged" 19 2010 "FACE"
"44" "FACE_22" "1991" 50.61555735963 "ProjectScenario" "Tractor" 1991 "Logged" 16 2007 "FACE"
"47" "FACE_24" "1981" 103.276332045596 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"4810" "FACE_24" "1981" 117.452557914164 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"4910" "FACE_25" "1981" 62.1520245985985 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"50" "FACE_25" "1981" 63.4467133801714 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"51" "FACE_26" "1988" 80.8733880478266 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"52" "FACE_26" "1988" 70.8999847405137 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"55" "FACE_28" "1991" 100.371506920953 "ProjectScenario" "Tractor" 1991 "Logged" 19 2010 "FACE"
"56" "FACE_28" "1991" 85.475095200443 "ProjectScenario" "Tractor" 1991 "Logged" 16 2007 "FACE"
"5710" "FACE_29" "1988" 79.45680317649 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"58" "FACE_29" "1988" 84.1849653812109 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"5910" "FACE_30" "1988" 94.6601985032889 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"601" "FACE_30" "1988" 105.33017967892 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"61" "FACE_31" "1991" 111.347550555923 "ProjectScenario" "Tractor" 1991 "Logged" 16 2007 "FACE"
"621" "FACE_31" "1991" 121.134647587603 "ProjectScenario" "Tractor" 1991 "Logged" 19 2010 "FACE"
"671" "FACE_34" "1989" 145.573721588223 "ProjectScenario" "Tractor" 1989 "Logged" 21 2010 "FACE"
"68" "FACE_34" "1989" 132.34948967177 "ProjectScenario" "Tractor" 1989 "Logged" 18 2007 "FACE"
"691" "FACE_35" "1988" 219.028157432859 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"701" "FACE_35" "1988" 183.931612693535 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"711" "FACE_36" "1991" 137.879761702822 "ProjectScenario" "High_lead" 1991 "Logged" 16 2007 "FACE"
"72" "FACE_36" "1991" 154.873173587927 "ProjectScenario" "High_lead" 1991 "Logged" 19 2010 "FACE"
"73" "FACE_37" "1988" 116.661710532445 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"74" "FACE_37" "1988" 102.487490630809 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"751" "FACE_38" "1991" 67.2198709104057 "ProjectScenario" "High_lead" 1991 "Logged" 19 2010 "FACE"
"761" "FACE_38" "1991" 56.7595669554154 "ProjectScenario" "High_lead" 1991 "Logged" 16 2007 "FACE"
"791" "FACE_40" "1988" 106.184320144355 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"801" "FACE_40" "1988" 120.273348759278 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"811" "FACE_41" "1988" 146.719158361764 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"82" "FACE_41" "1988" 116.743950889994 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"83" "FACE_43" "1988" 277.202221250873 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"84" "FACE_43" "1988" 248.749892844974 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"851" "FACE_44" "1988" 175.738387098764 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"86" "FACE_44" "1988" 230.019845977122 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"87" "FACE_45" "1988" 96.7932153915277 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"88" "FACE_45" "1988" 69.2284813102846 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"89" "FACE_46" "1988" 88.2182780602306 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"90" "FACE_46" "1988" 89.6565259534751 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"91" "FACE_47" "1988" 107.665760071786 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"921" "FACE_47" "1988" 75.3840736609736 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"931" "FACE_48" "1988" 118.612062763975 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"94" "FACE_48" "1988" 90.765453451146 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"95" "FACE_49" "1991" 113.993938739609 "ProjectScenario" "Tractor" 1991 "Logged" 16 2007 "FACE"
"96" "FACE_49" "1991" 135.182297845451 "ProjectScenario" "Tractor" 1991 "Logged" 19 2010 "FACE"
"97" "FACE_50" "1988" 135.852167230159 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"98" "FACE_50" "1988" 175.787329365177 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"101" "FACE_52" "1988" 158.433580915421 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"102" "FACE_52" "1988" 141.931130402589 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"105" "FACE_54" "1981" 105.884866826271 "ProjectScenario" "High_lead" 1981 "Logged" 26 2007 "FACE"
"106" "FACE_54" "1981" 125.379423606019 "ProjectScenario" "High_lead" 1981 "Logged" 29 2010 "FACE"
"111" "FACE_57" "1981" 95.9233238851197 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"112" "FACE_57" "1981" 115.985673710919 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"113" "FACE_58" "1991" 241.617597510678 "ProjectScenario" "High_lead" 1991 "Logged" 19 2010 "FACE"
"114" "FACE_58" "1991" 238.635186433608 "ProjectScenario" "High_lead" 1991 "Logged" 16 2007 "FACE"
"115" "FACE_59" "1988" 152.836101426763 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"116" "FACE_59" "1988" 131.167184734666 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"117" "FACE_60" "1991" 84.7463506210066 "ProjectScenario" "Tractor" 1991 "Logged" 16 2007 "FACE"
"118" "FACE_60" "1991" 88.3529242211616 "ProjectScenario" "Tractor" 1991 "Logged" 19 2010 "FACE"
"119" "FACE_61" "1991" 134.00481038425 "ProjectScenario" "High_lead" 1991 "Logged" 16 2007 "FACE"
"120" "FACE_61" "1991" 134.205877895466 "ProjectScenario" "High_lead" 1991 "Logged" 19 2010 "FACE"
"123" "FACE_63" "1981" 50.7431407489643 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"124" "FACE_63" "1981" 40.1621934399548 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"125" "FACE_64" "1981" 183.542848022424 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"126" "FACE_64" "1981" 197.168473713615 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"127" "FACE_65" "1981" 87.1015226166273 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"128" "FACE_65" "1981" 78.0297409677135 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
